answer,num_guesses,won,guesses
fella,3,True,raise cleat fella
larva,4,True,raise party carol larva
forgo,4,True,raise court donor forgo
story,3,True,raise short story
hairy,2,True,raise hairy
train,3,True,raise trail train
homer,5,True,raise deter cower hover homer
badge,3,True,raise cable badge
midst,3,True,raise tipsy midst
canny,3,True,raise tangy canny
fetus,4,True,raise spelt zesty fetus
butch,3,True,raise mulch butch
farce,2,True,raise farce
slung,3,True,raise stunk slung
tipsy,2,True,raise tipsy
metal,3,True,raise cleat metal
yield,3,True,raise linen yield
delve,4,True,raise lunge clove delve
being,4,True,raise edict feign being
scour,3,True,raise short scour
glass,3,True,raise slash glass
gamer,4,True,raise taper lager gamer
scrap,3,True,raise strap scrap
money,4,True,raise betel woven money
hinge,3,True,raise binge hinge
album,4,True,raise float black album
vouch,3,True,raise mulch vouch
asset,3,True,raise steak asset
tiara,3,True,raise trail tiara
crept,3,True,raise deter crept
bayou,3,True,raise tangy bayou
atoll,3,True,raise float atoll
manor,5,True,raise party valor major manor
creak,5,True,raise alert dream break creak
showy,4,True,raise stunk scowl showy
phase,4,True,raise cease abase phase
froth,4,True,raise court throb froth
depth,3,True,raise betel depth
gloom,3,True,raise mulch gloom
flood,4,True,raise mulch blown flood
trait,4,True,raise trail train trait
girth,3,True,raise droit girth
piety,3,True,raise linen piety
payer,3,True,raise taper payer
goose,3,True,raise loose goose
float,2,True,raise float
donor,3,True,raise court donor
atone,4,True,raise blade acute atone
primo,3,True,raise print primo
apron,3,True,raise adorn apron
blown,3,True,raise mulch blown
cacao,4,True,raise tangy macaw cacao
loser,3,True,raise sheer loser
input,3,True,raise pilot input
gloat,3,True,raise float gloat
awful,3,True,raise float awful
brink,4,True,raise print bring brink
smite,4,True,raise spine smile smite
beady,3,True,raise cleat beady
rusty,2,True,raise rusty
retro,3,True,raise ruler retro
droll,4,True,raise court prong droll
gawky,4,True,raise tangy gaudy gawky
hutch,5,True,raise mulch butch dutch hutch
pinto,3,True,raise pilot pinto
gaily,3,True,raise faint gaily
egret,4,True,raise deter greet egret
lilac,3,True,raise tidal lilac
sever,3,True,raise sheer sever
field,4,True,raise linen yield field
fluff,4,True,raise mulch flunk fluff
hydro,4,True,raise court fjord hydro
flack,3,True,raise float flack
agape,5,True,raise blade weave agate agape
wench,4,True,raise betel decoy wench
voice,4,True,raise utile opine voice
stead,3,True,raise steak stead
stalk,2,True,raise stalk
berth,3,True,raise deter berth
madam,4,True,raise tangy macaw madam
night,3,True,raise pilot night
bland,4,True,raise float black bland
liver,3,True,raise diner liver
wedge,3,True,raise lunge wedge
augur,4,True,raise adorn altar augur
roomy,3,True,raise ruddy roomy
wacky,4,True,raise tangy bawdy wacky
flock,4,True,raise mulch clock flock
angry,3,True,raise adorn angry
bobby,4,True,raise mulch goody bobby
trite,3,True,raise tripe trite
aphid,3,True,raise tidal aphid
tryst,3,True,raise crust tryst
midge,3,True,raise binge midge
power,4,True,raise deter cower power
elope,5,True,raise lunge clove bloke elope
cinch,4,True,raise pilot windy cinch
motto,3,True,raise mulch motto
stomp,4,True,raise stunk stool stomp
upset,3,True,raise spelt upset
bluff,4,True,raise mulch flunk bluff
cramp,5,True,raise adorn tract crazy cramp
quart,4,True,raise adorn chart quart
coyly,3,True,raise mulch coyly
youth,3,True,raise mulch youth
rhyme,3,True,raise rogue rhyme
buggy,4,True,raise mulch pudgy buggy
alien,2,True,raise alien
smear,2,True,raise smear
unfit,3,True,raise pilot unfit
patty,4,True,raise tangy batty patty
cling,4,True,raise glint fling cling
glean,3,True,raise cleat glean
label,3,True,raise navel label
hunky,4,True,raise mulch ought hunky
khaki,3,True,raise tidal khaki
poker,5,True,raise deter cower hover poker
gruel,3,True,raise deter gruel
twice,3,True,raise utile twice
twang,3,True,raise float twang
shrug,4,True,raise short shrub shrug
treat,4,True,raise alert great treat
unlit,3,True,raise pilot unlit
waste,3,True,raise caste waste
merit,3,True,raise diner merit
woven,3,True,raise betel woven
octal,3,True,raise float octal
needy,3,True,raise betel needy
clown,4,True,raise mulch coyly clown
widow,3,True,raise pilot widow
irony,3,True,raise droit irony
ruder,3,True,raise ruler ruder
gauze,3,True,raise cable gauze
chief,3,True,raise edict chief
onset,3,True,raise spelt onset
prize,4,True,raise tripe pride prize
fungi,4,True,raise pilot cynic fungi
charm,4,True,raise adorn chart charm
gully,4,True,raise mulch bully gully
inter,3,True,raise diner inter
whoop,3,True,raise mulch whoop
taunt,3,True,raise tangy taunt
leery,3,True,raise deter leery
class,4,True,raise slash glass class
theme,3,True,raise lunge theme
lofty,4,True,raise mulch blown lofty
tibia,3,True,raise tidal tibia
booze,4,True,raise lunge theme booze
alpha,4,True,raise float black alpha
thyme,4,True,raise lunge theme thyme
eclat,3,True,raise cleat eclat
doubt,4,True,raise mulch pound doubt
parer,4,True,raise taper payer parer
chute,3,True,raise lunge chute
stick,3,True,raise stink stick
trice,4,True,raise tripe trite trice
alike,2,True,raise alike
sooth,3,True,raise stunk sooth
recap,4,True,raise relay rebar recap
saint,2,True,raise saint
liege,4,True,raise binge midge liege
glory,4,True,raise court fjord glory
grate,4,True,raise grace grade grate
admit,3,True,raise tidal admit
brisk,2,True,raise brisk
soggy,4,True,raise stunk scowl soggy
usurp,3,True,raise short usurp
scald,3,True,raise stalk scald
scorn,3,True,raise short scorn
leave,3,True,raise blade leave
twine,4,True,raise utile twice twine
sting,3,True,raise stink sting
bough,4,True,raise mulch youth bough
marsh,2,True,raise marsh
sloth,4,True,raise stunk sooth sloth
dandy,4,True,raise tangy canny dandy
vigor,3,True,raise droit vigor
howdy,4,True,raise mulch whoop howdy
enjoy,3,True,raise betel enjoy
valid,4,True,raise panic maxim valid
ionic,4,True,raise pilot conic ionic
equal,4,True,raise cleat pedal equal
unset,4,True,raise spelt onset unset
floor,4,True,raise court prong floor
catch,4,True,raise tangy caput catch
spade,3,True,raise slate spade
stein,3,True,raise islet stein
exist,3,True,raise heist exist
quirk,3,True,raise print quirk
denim,3,True,raise linen denim
grove,4,True,raise trope drove grove
spiel,2,True,raise spiel
mummy,3,True,raise mulch mummy
fault,4,True,raise tangy caput fault
foggy,4,True,raise mulch goody foggy
flout,4,True,raise mulch flunk flout
carry,5,True,raise party marry harry carry
sneak,3,True,raise steak sneak
libel,3,True,raise linen libel
waltz,4,True,raise tangy caput waltz
aptly,3,True,raise float aptly
piney,3,True,raise linen piney
inept,3,True,raise linen inept
aloud,3,True,raise float aloud
photo,4,True,raise mulch whoop photo
dream,3,True,raise alert dream
stale,3,True,raise slate stale
vomit,3,True,raise pilot vomit
ombre,4,True,raise trope forge ombre
fanny,4,True,raise tangy canny fanny
unite,3,True,raise utile unite
snarl,5,True,raise strap shard scarf snarl
baker,4,True,raise taper lager baker
there,3,True,raise trope there
glyph,3,True,raise mulch glyph
pooch,4,True,raise mulch notch pooch
hippy,3,True,raise pilot hippy
spell,3,True,raise spelt spell
folly,3,True,raise mulch folly
louse,3,True,raise loose louse
gulch,3,True,raise mulch gulch
vault,5,True,raise tangy caput fault vault
godly,5,True,raise mulch blown lofty godly
threw,3,True,raise deter threw
fleet,3,True,raise betel fleet
grave,5,True,raise grace grade grate grave
inane,2,True,raise inane
shock,3,True,raise stunk shock
crave,5,True,raise grace crate craze crave
spite,4,True,raise spine spike spite
valve,4,True,raise cable halve valve
skimp,4,True,raise stink skill skimp
claim,3,True,raise tidal claim
rainy,2,True,raise rainy
musty,4,True,raise stunk lusty musty
pique,4,True,raise binge tilde pique
daddy,4,True,raise tangy bawdy daddy
quasi,2,True,raise quasi
arise,2,True,raise arise
aging,3,True,raise align aging
valet,3,True,raise navel valet
opium,4,True,raise glint quick opium
avert,3,True,raise alert avert
stuck,3,True,raise stunk stuck
recut,4,True,raise ruler rebut recut
mulch,2,True,raise mulch
genre,4,True,raise trope nerve genre
plume,4,True,raise lunge flume plume
rifle,2,True,raise rifle
count,3,True,raise mulch count
incur,3,True,raise droit incur
total,4,True,raise float octal total
wrest,4,True,raise cress fresh wrest
mocha,4,True,raise float comma mocha
deter,2,True,raise deter
study,3,True,raise stunk study
lover,5,True,raise deter cower hover lover
safer,2,True,raise safer
rivet,2,True,raise rivet
funny,4,True,raise mulch pudgy funny
smoke,4,True,raise stone scope smoke
mound,4,True,raise mulch mount mound
undue,3,True,raise lunge undue
sedan,3,True,raise steak sedan
pagan,3,True,raise tangy pagan
swine,3,True,raise spine swine
guile,3,True,raise utile guile
gusty,5,True,raise stunk lusty musty gusty
equip,4,True,raise linen fetid equip
tough,4,True,raise mulch youth tough
canoe,3,True,raise cable canoe
chaos,3,True,raise stalk chaos
covet,4,True,raise betel unmet covet
human,3,True,raise float human
udder,3,True,raise deter udder
lunch,3,True,raise mulch lunch
blast,3,True,raise slash blast
stray,3,True,raise strap stray
manga,3,True,raise tangy manga
melee,4,True,raise lunge clove melee
lefty,3,True,raise betel lefty
quick,3,True,raise glint quick
paste,4,True,raise caste waste paste
given,3,True,raise linen given
octet,4,True,raise betel totem octet
risen,2,True,raise risen
groan,3,True,raise adorn groan
leaky,4,True,raise cleat fella leaky
grind,4,True,raise print bring grind
carve,3,True,raise farce carve
loose,2,True,raise loose
sadly,3,True,raise salon sadly
spilt,4,True,raise stink swift spilt
apple,4,True,raise blade ample apple
slack,3,True,raise stalk slack
honey,5,True,raise betel woven money honey
final,3,True,raise tidal final
sheen,4,True,raise spelt seedy sheen
eerie,3,True,raise fibre eerie
minty,5,True,raise pilot width kitty minty
slick,3,True,raise stink slick
derby,3,True,raise deter derby
wharf,4,True,raise adorn chart wharf
spelt,2,True,raise spelt
coach,4,True,raise float comma coach
erupt,4,True,raise deter crept erupt
singe,3,True,raise siege singe
price,5,True,raise tripe pride prize price
spawn,4,True,raise stalk swamp spawn
fairy,3,True,raise hairy fairy
jiffy,4,True,raise pilot windy jiffy
filmy,3,True,raise pilot filmy
stack,3,True,raise stalk stack
chose,4,True,raise loose those chose
sleep,3,True,raise spelt sleep
ardor,3,True,raise adorn ardor
nanny,5,True,raise tangy canny fanny nanny
niece,3,True,raise binge niece
woozy,5,True,raise mulch goody booby woozy
handy,5,True,raise tangy canny dandy handy
grace,2,True,raise grace
ditto,3,True,raise pilot ditto
stank,4,True,raise stalk stack stank
cream,4,True,raise alert dream cream
usual,3,True,raise stalk usual
diode,4,True,raise binge tilde diode
valor,3,True,raise party valor
angle,4,True,raise blade ample angle
ninja,3,True,raise tidal ninja
muddy,4,True,raise mulch mummy muddy
chase,3,True,raise cease chase
reply,3,True,raise ruler reply
prone,4,True,raise trope prove prone
spoil,3,True,raise stoic spoil
heart,3,True,raise alert heart
shade,4,True,raise slate spade shade
diner,2,True,raise diner
arson,3,True,raise strap arson
onion,4,True,raise glint unify onion
sleet,3,True,raise spelt sleet
dowel,3,True,raise betel dowel
couch,4,True,raise mulch vouch couch
palsy,3,True,raise salsa palsy
bowel,3,True,raise betel bowel
smile,3,True,raise spine smile
evoke,4,True,raise lunge theme evoke
creek,4,True,raise deter creep creek
lance,3,True,raise cable lance
eagle,3,True,raise cable eagle
idiot,3,True,raise glint idiot
siren,3,True,raise miser siren
built,3,True,raise glint built
embed,3,True,raise betel embed
award,3,True,raise adorn award
dross,3,True,raise crust dross
annul,4,True,raise float qualm annul
goody,3,True,raise mulch goody
frown,4,True,raise court prong frown
patio,3,True,raise panic patio
laden,3,True,raise navel laden
humid,4,True,raise pilot cynic humid
elite,3,True,raise utile elite
lymph,3,True,raise mulch lymph
edify,3,True,raise edict edify
might,4,True,raise pilot night might
reset,3,True,raise rebus reset
visit,3,True,raise stoic visit
gusto,4,True,raise stunk lusty gusto
purse,2,True,raise purse
vapor,3,True,raise party vapor
crock,4,True,raise court crown crock
write,3,True,raise tripe write
sunny,3,True,raise stunk sunny
loath,3,True,raise float loath
chaff,3,True,raise float chaff
slide,4,True,raise spine smile slide
queer,3,True,raise deter queer
venom,4,True,raise betel decoy venom
stamp,5,True,raise stalk staff stand stamp
sorry,3,True,raise short sorry
still,3,True,raise stink still
acorn,3,True,raise adorn acorn
aping,4,True,raise align aging aping
pushy,3,True,raise stunk pushy
tamer,3,True,raise taper tamer
hater,4,True,raise taper cater hater
mania,3,True,raise panic mania
awoke,4,True,raise blade acute awoke
brawn,3,True,raise adorn brawn
swift,3,True,raise stink swift
exile,3,True,raise utile exile
birch,4,True,raise droit incur birch
lucky,3,True,raise mulch lucky
freer,4,True,raise deter queer freer
risky,2,True,raise risky
ghost,4,True,raise floss boost ghost
plier,3,True,raise fried plier
lunar,4,True,raise adorn crank lunar
winch,4,True,raise pilot windy winch
snare,3,True,raise scare snare
nurse,3,True,raise purse nurse
house,3,True,raise loose house
borax,5,True,raise adorn molar foray borax
nicer,3,True,raise diner nicer
lurch,3,True,raise court lurch
exalt,4,True,raise cleat leant exalt
about,3,True,raise float about
savvy,3,True,raise salon savvy
toxin,3,True,raise pilot toxin
tunic,3,True,raise pilot tunic
pried,3,True,raise fried pried
inlay,3,True,raise tidal inlay
chump,3,True,raise mulch chump
lanky,5,True,raise tangy canny dandy lanky
cress,2,True,raise cress
eater,5,True,raise taper cater hater eater
elude,4,True,raise lunge flume elude
cycle,4,True,raise lunge clove cycle
kitty,4,True,raise pilot width kitty
boule,4,True,raise lunge flume boule
moron,4,True,raise court donor moron
tenet,3,True,raise betel tenet
place,4,True,raise blade plate place
lobby,4,True,raise mulch blown lobby
plush,4,True,raise floss blush plush
vigil,3,True,raise pilot vigil
index,3,True,raise linen index
blink,3,True,raise glint blink
clung,4,True,raise mulch could clung
qualm,3,True,raise float qualm
croup,3,True,raise court croup
clink,4,True,raise glint blink clink
juicy,4,True,raise glint quick juicy
stage,3,True,raise slate stage
decay,3,True,raise cleat decay
nerve,3,True,raise trope nerve
flier,3,True,raise fried flier
shaft,3,True,raise stalk shaft
crook,5,True,raise court crown crock crook
clean,3,True,raise cleat clean
china,3,True,raise align china
ridge,3,True,raise rifle ridge
vowel,4,True,raise betel dowel vowel
gnome,3,True,raise lunge gnome
snuck,3,True,raise stunk snuck
icing,4,True,raise glint doing icing
spiny,4,True,raise stink suing spiny
rigor,3,True,raise robin rigor
snail,2,True,raise snail
flown,4,True,raise mulch blown flown
rabid,3,True,raise radio rabid
prose,3,True,raise purse prose
thank,4,True,raise float twang thank
poppy,5,True,raise mulch goody bobby poppy
budge,3,True,raise lunge budge
fiber,5,True,raise diner liver fixer fiber
moldy,3,True,raise mulch moldy
dowdy,4,True,raise mulch goody dowdy
kneel,3,True,raise betel kneel
track,4,True,raise adorn tract track
caddy,5,True,raise tangy bawdy daddy caddy
quell,3,True,raise betel quell
dumpy,3,True,raise mulch dumpy
paler,5,True,raise taper payer parer paler
swore,4,True,raise spree store swore
rebar,3,True,raise relay rebar
scuba,4,True,raise stalk squad scuba
splat,3,True,raise stalk splat
flyer,5,True,raise deter cower buyer flyer
horny,4,True,raise court donor horny
mason,3,True,raise salon mason
doing,3,True,raise glint doing
ozone,3,True,raise lunge ozone
amply,4,True,raise float qualm amply
molar,3,True,raise adorn molar
ovary,3,True,raise adorn ovary
beset,4,True,raise spelt onset beset
queue,3,True,raise lunge queue
cliff,4,True,raise glint flick cliff
magic,3,True,raise panic magic
truce,3,True,raise trope truce
sport,3,True,raise short sport
fritz,3,True,raise print fritz
edict,2,True,raise edict
twirl,3,True,raise print twirl
verse,3,True,raise purse verse
llama,4,True,raise float black llama
eaten,4,True,raise navel taken eaten
range,2,True,raise range
whisk,3,True,raise hoist whisk
hovel,4,True,raise betel dowel hovel
rehab,4,True,raise relay rebar rehab
macaw,3,True,raise tangy macaw
sigma,3,True,raise snail sigma
spout,3,True,raise stunk spout
verve,4,True,raise trope nerve verve
sushi,4,True,raise stoic silky sushi
dying,4,True,raise glint doing dying
fetid,3,True,raise linen fetid
brain,4,True,raise trail braid brain
buddy,4,True,raise mulch pudgy buddy
thump,4,True,raise mulch thumb thump
scion,3,True,raise stink scion
candy,4,True,raise tangy canny candy
chord,3,True,raise court chord
basin,3,True,raise basic basin
march,4,True,raise party carol march
crowd,4,True,raise court crown crowd
arbor,3,True,raise adorn arbor
gayly,5,True,raise tangy gaudy gawky gayly
musky,3,True,raise stunk musky
stain,3,True,raise snail stain
dally,4,True,raise tangy bawdy dally
bless,3,True,raise chest bless
bravo,4,True,raise adorn molar bravo
stung,3,True,raise stunk stung
title,4,True,raise binge tilde title
ruler,2,True,raise ruler
kiosk,3,True,raise tipsy kiosk
blond,4,True,raise mulch blown blond
ennui,3,True,raise linen ennui
layer,4,True,raise taper lager layer
fluid,3,True,raise pilot fluid
tatty,3,True,raise tangy tatty
score,5,True,raise spree store swore score
cutie,4,True,raise binge movie cutie
zebra,4,True,raise alert yearn zebra
barge,3,True,raise farce barge
matey,3,True,raise navel matey
bluer,5,True,raise deter cower buyer bluer
aider,2,True,raise aider
shook,4,True,raise stunk shock shook
river,3,True,raise rivet river
privy,5,True,raise print primo prick privy
betel,2,True,raise betel
frisk,3,True,raise brisk frisk
bongo,4,True,raise mulch goody bongo
begun,4,True,raise betel bench begun
azure,3,True,raise grace azure
weave,3,True,raise blade weave
genie,3,True,raise binge genie
sound,4,True,raise stunk slung sound
glove,3,True,raise lunge glove
braid,3,True,raise trail braid
scope,3,True,raise stone scope
wryly,3,True,raise court wryly
rover,3,True,raise ruler rover
assay,3,True,raise stalk assay
ocean,3,True,raise cleat ocean
bloom,4,True,raise mulch gloom bloom
irate,2,True,raise irate
later,6,True,raise taper cater hater eater later
woken,4,True,raise betel woven woken
silky,3,True,raise stoic silky
wreck,4,True,raise deter query wreck
dwelt,3,True,raise betel dwelt
slate,2,True,raise slate
smack,4,True,raise stalk shank smack
solid,3,True,raise stoic solid
amaze,5,True,raise blade weave agate amaze
hazel,4,True,raise navel label hazel
wrist,4,True,raise brisk prism wrist
jolly,4,True,raise mulch folly jolly
globe,4,True,raise lunge glove globe
flint,3,True,raise glint flint
rouse,2,True,raise rouse
civil,4,True,raise pilot vigil civil
